frequencies,amplitudes
5250000.0,-4.1
5250333.333333333,-4.1
5250666.666666667,-4.1
5251000.0,-4.1
5251333.333333333,-4.066666666666666
5251666.666666667,-4.066666666666666
5252000.0,-4.066666666666666
5252333.333333333,-4.066666666666666
5252666.666666667,-4.033333333333333
5253000.0,-4.066666666666666
5253333.333333333,-4.066666666666666
5253666.666666667,-4.066666666666666
5254000.0,-4.033333333333333
5254333.333333333,-4.066666666666666
5254666.666666667,-4.033333333333333
5255000.0,-4.033333333333333
5255333.333333333,-4.0
5255666.666666667,-4.0
5256000.0,-4.0
5256333.333333333,-4.0
5256666.666666667,-4.033333333333333
5257000.0,-3.966666666666665
5257333.333333333,-3.966666666666665
5257666.666666667,-3.966666666666665
5258000.0,-4.0
5258333.333333333,-4.0
5258666.666666667,-4.0
5259000.0,-3.966666666666665
5259333.333333333,-3.966666666666665
5259666.666666667,-3.9333333333333336
5260000.0,-3.9333333333333336
5260333.333333333,-3.9333333333333336
5260666.666666667,-3.9333333333333336
5261000.0,-3.9333333333333336
5261333.333333333,-3.9333333333333336
5261666.666666667,-3.8999999999999986
5262000.0,-3.8999999999999986
5262333.333333333,-3.8999999999999986
5262666.666666667,-3.8999999999999986
5263000.0,-3.9333333333333336
5263333.333333333,-3.8999999999999986
5263666.666666667,-3.8999999999999986
5264000.0,-3.9333333333333336
5264333.333333333,-3.8999999999999986
5264666.666666667,-3.8999999999999986
5265000.0,-3.866666666666667
5265333.333333333,-3.8999999999999986
5265666.666666667,-3.8999999999999986
5266000.0,-3.8999999999999986
5266333.333333333,-3.8999999999999986
5266666.666666667,-3.8999999999999986
5267000.0,-3.8999999999999986
5267333.333333333,-3.8999999999999986
5267666.666666667,-3.8999999999999986
5268000.0,-3.8999999999999986
5268333.333333333,-3.8999999999999986
5268666.666666667,-3.8999999999999986
5269000.0,-3.8999999999999986
5269333.333333333,-3.8999999999999986
5269666.666666667,-3.8999999999999986
5270000.0,-3.866666666666667
5270333.333333333,-3.866666666666667
5270666.666666667,-3.866666666666667
5271000.0,-3.866666666666667
5271333.333333333,-3.866666666666667
5271666.666666667,-3.866666666666667
5272000.0,-3.866666666666667
5272333.333333333,-3.866666666666667
5272666.666666667,-3.866666666666667
5273000.0,-3.866666666666667
5273333.333333333,-3.866666666666667
5273666.666666667,-3.866666666666667
5274000.0,-3.866666666666667
5274333.333333333,-3.866666666666667
5274666.666666667,-3.866666666666667
5275000.0,-3.866666666666667
5275333.333333333,-3.866666666666667
5275666.666666667,-3.866666666666667
5276000.0,-3.866666666666667
5276333.333333333,-3.833333333333332
5276666.666666667,-3.866666666666667
5277000.0,-3.866666666666667
5277333.333333333,-3.866666666666667
5277666.666666667,-3.866666666666667
5278000.0,-3.866666666666667
5278333.333333333,-3.866666666666667
5278666.666666667,-3.833333333333332
5279000.0,-3.866666666666667
5279333.333333333,-3.866666666666667
5279666.666666667,-3.866666666666667
5280000.0,-3.866666666666667
5280333.333333333,-3.866666666666667
5280666.666666667,-3.866666666666667
5281000.0,-3.866666666666667
5281333.333333333,-3.866666666666667
5281666.666666667,-3.866666666666667
5282000.0,-3.866666666666667
5282333.333333333,-3.866666666666667
5282666.666666667,-3.866666666666667
5283000.0,-3.833333333333332
5283333.333333333,-3.866666666666667
5283666.666666667,-3.866666666666667
5284000.0,-3.866666666666667
5284333.333333333,-3.866666666666667
5284666.666666667,-3.866666666666667
5285000.0,-3.8999999999999986
5285333.333333333,-3.8999999999999986
5285666.666666667,-3.8999999999999986
5286000.0,-3.8999999999999986
5286333.333333333,-3.8999999999999986
5286666.666666667,-3.8999999999999986
5287000.0,-3.8999999999999986
5287333.333333333,-3.8999999999999986
5287666.666666667,-3.8999999999999986
5288000.0,-3.8999999999999986
5288333.333333333,-3.8999999999999986
5288666.666666667,-3.8999999999999986
5289000.0,-3.8999999999999986
5289333.333333333,-3.8999999999999986
5289666.666666667,-3.8999999999999986
5290000.0,-3.866666666666667
5290333.333333333,-3.8999999999999986
5290666.666666667,-3.9333333333333336
5291000.0,-3.8999999999999986
5291333.333333333,-3.8999999999999986
5291666.666666667,-3.8999999999999986
5292000.0,-3.9333333333333336
5292333.333333333,-3.8999999999999986
5292666.666666667,-3.9333333333333336
5293000.0,-3.8999999999999986
5293333.333333333,-3.8999999999999986
5293666.666666667,-3.8999999999999986
5294000.0,-3.8999999999999986
5294333.333333333,-3.9333333333333336
5294666.666666667,-3.9333333333333336
5295000.0,-3.9333333333333336
5295333.333333333,-3.966666666666665
5295666.666666667,-3.966666666666665
5296000.0,-3.966666666666665
5296333.333333333,-3.966666666666665
5296666.666666667,-3.966666666666665
5297000.0,-3.966666666666665
5297333.333333333,-3.966666666666665
5297666.666666667,-3.966666666666665
5298000.0,-3.966666666666665
5298333.333333333,-3.966666666666665
5298666.666666667,-3.9333333333333336
5299000.0,-3.966666666666665
5299333.333333333,-4.0
5299666.666666667,-4.0
5300000.0,-4.0
5300333.333333333,-4.0
5300666.666666667,-4.0
5301000.0,-4.0
