frequencies,amplitudes
14000000.0,-7.1666666667
14000583.333333334,-7.1666666667
14001166.666666666,-7.1666666667
14001750.0,-7.1666666667
14002333.333333334,-7.1666666667
14002916.666666666,-7.1666666667
14003500.0,-7.1666666667
14004083.333333334,-7.0
14004666.666666666,-7.1666666667
14005250.0,-7.0
14005833.333333334,-7.1666666667
14006416.666666666,-7.0
14007000.0,-7.0
14007583.333333334,-7.0
14008166.666666666,-7.0
14008750.0,-7.0
14009333.333333334,-7.0
14009916.666666666,-7.0
14010500.0,-7.0
14011083.333333334,-6.8333333333
14011666.666666666,-6.8333333333
14012250.0,-6.8333333333
14012833.333333334,-6.8333333333
14013416.666666666,-6.8333333333
14014000.0,-6.8333333333
14014583.333333334,-6.8333333333
14015166.666666666,-6.8333333333
14015750.0,-6.8333333333
14016333.333333334,-6.8333333333
14016916.666666666,-6.8333333333
14017500.0,-6.8333333333
14018083.333333334,-6.6666666667
14018666.666666666,-6.6666666667
14019250.0,-6.6666666667
14019833.333333334,-6.6666666667
14020416.666666666,-6.6666666667
14021000.0,-6.6666666667
14021583.333333334,-6.6666666667
14022166.666666666,-6.6666666667
14022750.0,-6.6666666667
14023333.333333334,-6.6666666667
14023916.666666666,-6.6666666667
14024500.0,-6.5
14025083.333333334,-6.5
14025666.666666666,-6.5
14026250.0,-6.5
14026833.333333334,-6.5
14027416.666666666,-6.5
14028000.0,-6.5
14028583.333333334,-6.5
14029166.666666666,-6.5
14029750.0,-6.5
14030333.333333334,-6.5
14030916.666666666,-6.5
14031500.0,-6.5
14032083.333333334,-6.3333333333
14032666.666666666,-6.3333333333
14033250.0,-6.3333333333
14033833.333333334,-6.3333333333
14034416.666666666,-6.3333333333
14035000.0,-6.3333333333
14035583.333333334,-6.3333333333
14036166.666666666,-6.3333333333
14036750.0,-6.3333333333
14037333.333333334,-6.3333333333
14037916.666666666,-6.3333333333
14038500.0,-6.3333333333
14039083.333333334,-6.3333333333
14039666.666666666,-6.3333333333
14040250.0,-6.1666666667
14040833.333333334,-6.1666666667
14041416.666666666,-6.1666666667
14042000.0,-6.1666666667
14042583.333333334,-6.1666666667
14043166.666666666,-6.1666666667
14043750.0,-6.1666666667
14044333.333333334,-6.1666666667
14044916.666666666,-6.1666666667
14045500.0,-6.1666666667
14046083.333333334,-6.1666666667
14046666.666666666,-6.1666666667
14047250.0,-6.1666666667
14047833.333333334,-6.1666666667
14048416.666666666,-6.1666666667
14049000.0,-6.1666666667
14049583.333333334,-6.0
