frequencies,amplitudes
10100000.0,-5.533333333333333
10100083.333333334,-5.533333333333333
10100166.666666666,-5.533333333333333
10100250.0,-5.533333333333333
10100333.333333334,-5.533333333333333
10100416.666666666,-5.5
10100500.0,-5.533333333333333
10100583.333333334,-5.5
10100666.666666666,-5.5
10100750.0,-5.5
10100833.333333334,-5.5
10100916.666666666,-5.5
10101000.0,-5.5
10101083.333333334,-5.5
10101166.666666666,-5.5
10101250.0,-5.5
10101333.333333334,-5.5
10101416.666666666,-5.5
10101500.0,-5.5
10101583.333333334,-5.5
10101666.666666666,-5.5
10101750.0,-5.5
10101833.333333334,-5.5
10101916.666666666,-5.5
10102000.0,-5.5
10102083.333333334,-5.5
10102166.666666666,-5.5
10102250.0,-5.533333333333333
10102333.333333334,-5.5
10102416.666666666,-5.533333333333333
10102500.0,-5.5
10102583.333333334,-5.5
10102666.666666666,-5.5
10102750.0,-5.533333333333333
10102833.333333334,-5.533333333333333
10102916.666666666,-5.5
10103000.0,-5.5
10103083.333333334,-5.5
10103166.666666666,-5.5
10103250.0,-5.5
10103333.333333334,-5.5
10103416.666666666,-5.5
10103500.0,-5.5
10103583.333333334,-5.5
10103666.666666666,-5.533333333333333
10103750.0,-5.5
10103833.333333334,-5.5
10103916.666666666,-5.5
10104000.0,-5.466666666666667
10104083.333333334,-5.5
10104166.666666666,-5.5
10104250.0,-5.5
10104333.333333334,-5.5
10104416.666666666,-5.5
10104500.0,-5.5
10104583.333333334,-5.5
10104666.666666666,-5.5
10104750.0,-5.5
10104833.333333334,-5.533333333333333
10104916.666666666,-5.5
10105000.0,-5.5
10105083.333333334,-5.5
10105166.666666666,-5.5
10105250.0,-5.466666666666667
10105333.333333334,-5.5
10105416.666666666,-5.5
10105500.0,-5.5
10105583.333333334,-5.5
10105666.666666666,-5.5
10105750.0,-5.466666666666667
10105833.333333334,-5.5
10105916.666666666,-5.5
10106000.0,-5.5
10106083.333333334,-5.5
10106166.666666666,-5.5
10106250.0,-5.5
10106333.333333334,-5.5
10106416.666666666,-5.5
