frequencies,amplitudes
18068000.0,-5.3333333333
18068166.666666668,-5.3333333333
18068333.333333332,-5.3333333333
18068500.0,-5.3333333333
18068666.666666668,-5.3333333333
18068833.333333332,-5.3333333333
18069000.0,-5.3333333333
18069166.666666668,-5.3333333333
18069333.333333332,-5.3333333333
18069500.0,-5.3333333333
18069666.666666668,-5.3333333333
18069833.333333332,-5.3333333333
18070000.0,-5.3333333333
18070166.666666668,-5.3333333333
18070333.333333332,-5.3333333333
18070500.0,-5.3333333333
18070666.666666668,-5.3333333333
18070833.333333332,-5.3333333333
18071000.0,-5.3333333333
18071166.666666668,-5.3333333333
18071333.333333332,-5.3333333333
18071500.0,-5.3333333333
18071666.666666668,-5.3333333333
18071833.333333332,-5.3333333333
18072000.0,-5.3333333333
18072166.666666668,-5.3333333333
18072333.333333332,-5.3333333333
18072500.0,-5.3333333333
18072666.666666668,-5.3333333333
18072833.333333332,-5.3333333333
18073000.0,-5.3333333333
18073166.666666668,-5.3333333333
18073333.333333332,-5.3333333333
18073500.0,-5.3333333333
18073666.666666668,-5.3333333333
18073833.333333332,-5.3333333333
18074000.0,-5.3333333333
18074166.666666668,-5.3333333333
18074333.333333332,-5.3333333333
18074500.0,-5.3333333333
18074666.666666668,-5.3333333333
18074833.333333332,-5.3333333333
18075000.0,-5.3333333333
18075166.666666668,-5.3333333333
18075333.333333332,-5.3333333333
18075500.0,-5.3333333333
18075666.666666668,-5.3333333333
18075833.333333332,-5.3333333333
18076000.0,-5.3333333333
18076166.666666668,-5.3333333333
18076333.333333332,-5.3333333333
18076500.0,-5.3333333333
18076666.666666668,-5.3333333333
18076833.333333332,-5.3333333333
18077000.0,-5.3333333333
18077166.666666668,-5.3333333333
18077333.333333332,-5.3333333333
18077500.0,-5.3333333333
18077666.666666668,-5.3333333333
18077833.333333332,-5.3333333333
18078000.0,-5.3333333333
18078166.666666668,-5.3333333333
18078333.333333332,-5.3333333333
18078500.0,-5.3333333333
18078666.666666668,-5.3333333333
18078833.333333332,-5.3333333333
18079000.0,-5.3333333333
18079166.666666668,-5.3333333333
18079333.333333332,-5.3333333333
18079500.0,-5.3333333333
18079666.666666668,-5.3333333333
18079833.333333332,-5.3333333333
18080000.0,-5.3333333333
18080166.666666668,-5.3333333333
18080333.333333332,-5.3333333333
18080500.0,-5.3333333333
18080666.666666668,-5.3333333333
18080833.333333332,-5.3333333333
18081000.0,-5.3333333333
18081166.666666668,-5.3333333333
18081333.333333332,-5.3333333333
18081500.0,-5.3333333333
18081666.666666668,-5.3333333333
18081833.333333332,-5.3333333333
18082000.0,-5.3333333333
18082166.666666668,-5.3333333333
18082333.333333332,-5.3333333333
18082500.0,-5.3333333333
18082666.666666668,-5.3333333333
18082833.333333332,-5.3333333333
18083000.0,-5.3333333333
18083166.666666668,-5.3333333333
18083333.333333332,-5.3333333333
18083500.0,-5.3333333333
18083666.666666668,-5.3333333333
18083833.333333332,-5.3333333333
18084000.0,-5.3333333333
18084166.666666668,-5.3333333333
18084333.333333332,-5.3333333333
18084500.0,-5.3333333333
18084666.666666668,-5.3333333333
18084833.333333332,-5.3333333333
18085000.0,-5.3333333333
18085166.666666668,-5.3333333333
18085333.333333332,-5.3333333333
18085500.0,-5.3333333333
18085666.666666668,-5.3333333333
18085833.333333332,-5.3333333333
18086000.0,-5.3333333333
18086166.666666668,-5.3333333333
18086333.333333332,-5.3333333333
18086500.0,-5.3333333333
18086666.666666668,-5.3333333333
18086833.333333332,-5.3333333333
