frequencies,amplitudes
5250000.0,-6.8333333333
5250333.333333333,-6.8333333333
5250666.666666667,-6.8333333333
5251000.0,-6.8333333333
5251333.333333333,-6.8333333333
5251666.666666667,-6.6666666667
5252000.0,-6.6666666667
5252333.333333333,-6.6666666667
5252666.666666667,-6.6666666667
5253000.0,-6.6666666667
5253333.333333333,-6.6666666667
5253666.666666667,-6.5
5254000.0,-6.5
5254333.333333333,-6.5
5254666.666666667,-6.5
5255000.0,-6.5
5255333.333333333,-6.5
5255666.666666667,-6.5
5256000.0,-6.3333333333
5256333.333333333,-6.1666666667
5256666.666666667,-6.3333333333
5257000.0,-6.3333333333
5257333.333333333,-6.3333333333
5257666.666666667,-6.3333333333
5258000.0,-6.3333333333
5258333.333333333,-6.3333333333
5258666.666666667,-6.1666666667
5259000.0,-6.1666666667
5259333.333333333,-6.1666666667
5259666.666666667,-6.1666666667
5260000.0,-6.1666666667
5260333.333333333,-6.1666666667
5260666.666666667,-6.1666666667
5261000.0,-6.1666666667
5261333.333333333,-6.0
5261666.666666667,-6.0
5262000.0,-6.0
5262333.333333333,-6.0
5262666.666666667,-6.0
5263000.0,-6.0
5263333.333333333,-6.0
5263666.666666667,-6.0
5264000.0,-6.0
5264333.333333333,-5.8333333333
5264666.666666667,-5.8333333333
5265000.0,-5.8333333333
5265333.333333333,-5.8333333333
5265666.666666667,-5.8333333333
5266000.0,-5.8333333333
5266333.333333333,-5.8333333333
5266666.666666667,-5.8333333333
5267000.0,-5.8333333333
5267333.333333333,-5.6666666667
5267666.666666667,-5.6666666667
5268000.0,-5.6666666667
5268333.333333333,-5.6666666667
5268666.666666667,-5.6666666667
5269000.0,-5.6666666667
5269333.333333333,-5.6666666667
5269666.666666667,-5.6666666667
5270000.0,-5.6666666667
5270333.333333333,-5.6666666667
5270666.666666667,-5.5
5271000.0,-5.5
5271333.333333333,-5.5
5271666.666666667,-5.5
5272000.0,-5.5
5272333.333333333,-5.5
5272666.666666667,-5.5
5273000.0,-5.5
5273333.333333333,-5.5
5273666.666666667,-5.5
5274000.0,-5.3333333333
5274333.333333333,-5.3333333333
5274666.666666667,-5.3333333333
5275000.0,-5.3333333333
5275333.333333333,-5.3333333333
5275666.666666667,-5.3333333333
5276000.0,-5.3333333333
5276333.333333333,-5.3333333333
5276666.666666667,-5.3333333333
5277000.0,-5.3333333333
5277333.333333333,-5.3333333333
5277666.666666667,-5.1666666667
5278000.0,-5.1666666667
5278333.333333333,-5.1666666667
5278666.666666667,-5.1666666667
5279000.0,-5.1666666667
5279333.333333333,-5.1666666667
5279666.666666667,-5.1666666667
5280000.0,-5.1666666667
5280333.333333333,-5.1666666667
5280666.666666667,-5.0
5281000.0,-5.0
5281333.333333333,-5.0
5281666.666666667,-5.0
5282000.0,-5.0
5282333.333333333,-5.0
5282666.666666667,-5.0
5283000.0,-5.0
5283333.333333333,-5.0
5283666.666666667,-5.0
5284000.0,-5.0
5284333.333333333,-5.0
5284666.666666667,-4.8333333333
5285000.0,-4.8333333333
5285333.333333333,-4.8333333333
5285666.666666667,-4.6666666667
5286000.0,-4.8333333333
5286333.333333333,-4.8333333333
5286666.666666667,-4.8333333333
5287000.0,-4.8333333333
5287333.333333333,-4.8333333333
5287666.666666667,-4.8333333333
5288000.0,-4.8333333333
5288333.333333333,-4.8333333333
5288666.666666667,-4.8333333333
5289000.0,-4.8333333333
5289333.333333333,-4.8333333333
5289666.666666667,-4.6666666667
5290000.0,-4.6666666667
5290333.333333333,-4.6666666667
5290666.666666667,-4.6666666667
5291000.0,-4.6666666667
5291333.333333333,-4.6666666667
5291666.666666667,-4.6666666667
5292000.0,-4.6666666667
5292333.333333333,-4.6666666667
5292666.666666667,-4.6666666667
5293000.0,-4.6666666667
5293333.333333333,-4.6666666667
5293666.666666667,-4.6666666667
5294000.0,-4.6666666667
5294333.333333333,-4.6666666667
5294666.666666667,-4.5
5295000.0,-4.5
5295333.333333333,-4.5
5295666.666666667,-4.5
5296000.0,-4.5
5296333.333333333,-4.5
5296666.666666667,-4.5
5297000.0,-4.5
5297333.333333333,-4.5
5297666.666666667,-4.5
5298000.0,-4.5
5298333.333333333,-4.5
5298666.666666667,-4.5
5299000.0,-4.5
5299333.333333333,-4.5
5299666.666666667,-4.5
5300000.0,-4.5
5300333.333333333,-4.5
5300666.666666667,-4.3333333333
5301000.0,-4.3333333333
5301333.333333333,-4.3333333333
5301666.666666667,-4.3333333333
5302000.0,-4.3333333333
5302333.333333333,-4.3333333333
5302666.666666667,-4.3333333333
5303000.0,-4.3333333333
5303333.333333333,-4.3333333333
5303666.666666667,-4.3333333333
5304000.0,-4.3333333333
5304333.333333333,-4.3333333333
5304666.666666667,-4.3333333333
5305000.0,-4.3333333333
5305333.333333333,-4.3333333333
5305666.666666667,-4.3333333333
5306000.0,-4.3333333333
5306333.333333333,-4.3333333333
5306666.666666667,-4.3333333333
5307000.0,-4.3333333333
5307333.333333333,-4.1666666667
5307666.666666667,-4.3333333333
5308000.0,-4.1666666667
5308333.333333333,-4.1666666667
5308666.666666667,-4.1666666667
5309000.0,-4.1666666667
5309333.333333333,-4.1666666667
5309666.666666667,-4.1666666667
5310000.0,-4.1666666667
5310333.333333333,-4.1666666667
5310666.666666667,-4.1666666667
5311000.0,-4.1666666667
5311333.333333333,-4.1666666667
5311666.666666667,-4.1666666667
5312000.0,-4.1666666667
5312333.333333333,-4.1666666667
5312666.666666667,-4.1666666667
5313000.0,-4.1666666667
5313333.333333333,-4.1666666667
5313666.666666667,-4.1666666667
5314000.0,-4.1666666667
5314333.333333333,-4.1666666667
5314666.666666667,-4.1666666667
5315000.0,-4.1666666667
5315333.333333333,-4.1666666667
5315666.666666667,-4.1666666667
5316000.0,-4.1666666667
5316333.333333333,-4.1666666667
5316666.666666667,-4.1666666667
5317000.0,-4.1666666667
5317333.333333333,-4.1666666667
5317666.666666667,-4.1666666667
5318000.0,-4.1666666667
5318333.333333333,-4.1666666667
5318666.666666667,-4.1666666667
5319000.0,-4.1666666667
5319333.333333333,-4.0
5319666.666666667,-4.1666666667
5320000.0,-4.0
5320333.333333333,-4.1666666667
5320666.666666667,-4.0
5321000.0,-4.1666666667
5321333.333333333,-4.0
5321666.666666667,-4.0
5322000.0,-4.0
5322333.333333333,-4.1666666667
5322666.666666667,-4.0
5323000.0,-4.0
5323333.333333333,-4.0
5323666.666666667,-4.0
5324000.0,-4.0
5324333.333333333,-4.0
5324666.666666667,-4.0
5325000.0,-4.0
5325333.333333333,-4.0
5325666.666666667,-4.0
5326000.0,-4.0
5326333.333333333,-4.0
5326666.666666667,-4.0
5327000.0,-4.0
5327333.333333333,-4.0
5327666.666666667,-4.0
5328000.0,-4.0
5328333.333333333,-4.0
5328666.666666667,-4.0
5329000.0,-4.0
5329333.333333333,-4.0
5329666.666666667,-4.0
5330000.0,-4.0
5330333.333333333,-4.0
5330666.666666667,-4.0
5331000.0,-4.0
5331333.333333333,-4.0
5331666.666666667,-4.0
5332000.0,-4.0
5332333.333333333,-4.0
5332666.666666667,-4.0
5333000.0,-4.0
5333333.333333333,-4.0
5333666.666666667,-4.0
5334000.0,-4.0
5334333.333333333,-4.0
5334666.666666667,-4.0
5335000.0,-4.0
5335333.333333333,-4.0
5335666.666666667,-4.0
5336000.0,-4.0
5336333.333333333,-4.0
5336666.666666667,-4.0
5337000.0,-4.0
5337333.333333333,-4.0
5337666.666666667,-4.0
5338000.0,-4.0
5338333.333333333,-4.0
5338666.666666667,-4.0
5339000.0,-4.0
5339333.333333333,-4.0
5339666.666666667,-4.0
5340000.0,-4.0
5340333.333333333,-4.0
5340666.666666667,-4.0
5341000.0,-4.0
5341333.333333333,-4.0
5341666.666666667,-4.0
5342000.0,-4.0
5342333.333333333,-4.0
5342666.666666667,-4.0
5343000.0,-4.0
5343333.333333333,-4.0
5343666.666666667,-4.1666666667
5344000.0,-4.0
5344333.333333333,-4.1666666667
5344666.666666667,-4.0
