frequencies,amplitudes
50000000.0,-10.0
50006666.666666664,-10.0
50013333.333333336,-9.8333333333
50020000.0,-9.8333333333
50026666.666666664,-9.8333333333
50033333.333333336,-9.8333333333
50040000.0,-9.8333333333
50046666.666666664,-9.6666666667
50053333.333333336,-9.6666666667
50060000.0,-9.6666666667
50066666.666666664,-9.6666666667
50073333.333333336,-9.6666666667
50080000.0,-9.6666666667
50086666.666666664,-9.6666666667
50093333.333333336,-9.5
50100000.0,-9.5
50106666.666666664,-9.5
50113333.333333336,-9.5
50120000.0,-9.5
50126666.666666664,-9.5
50133333.333333336,-9.3333333333
50140000.0,-9.5
50146666.666666664,-9.5
50153333.333333336,-9.5
50160000.0,-9.3333333333
50166666.666666664,-9.3333333333
50173333.333333336,-9.3333333333
50180000.0,-9.3333333333
50186666.666666664,-9.3333333333
50193333.333333336,-9.3333333333
50200000.0,-9.3333333333
50206666.666666664,-9.3333333333
50213333.333333336,-9.1666666667
50220000.0,-9.3333333333
50226666.666666664,-9.3333333333
50233333.333333336,-9.1666666667
50240000.0,-9.3333333333
50246666.666666664,-9.3333333333
50253333.333333336,-9.3333333333
50260000.0,-9.3333333333
50266666.666666664,-9.3333333333
50273333.333333336,-9.3333333333
50280000.0,-9.3333333333
50286666.666666664,-9.3333333333
50293333.333333336,-9.3333333333
50300000.0,-9.1666666667
50306666.666666664,-9.3333333333
50313333.333333336,-9.1666666667
50320000.0,-9.1666666667
50326666.666666664,-9.3333333333
50333333.333333336,-9.3333333333
50340000.0,-9.3333333333
50346666.666666664,-9.3333333333
50353333.333333336,-9.3333333333
50360000.0,-9.3333333333
50366666.666666664,-9.3333333333
50373333.333333336,-9.3333333333
50380000.0,-9.3333333333
50386666.666666664,-9.3333333333
50393333.333333336,-9.3333333333
50400000.0,-9.3333333333
50406666.666666664,-9.3333333333
50413333.333333336,-9.3333333333
50420000.0,-9.1666666667
50426666.666666664,-9.3333333333
50433333.333333336,-9.1666666667
50440000.0,-9.3333333333
50446666.666666664,-9.5
50453333.333333336,-9.5
50460000.0,-9.5
50466666.666666664,-9.5
50473333.333333336,-9.5
50480000.0,-9.5
50486666.666666664,-9.3333333333
50493333.333333336,-9.5
50500000.0,-9.3333333333
50506666.666666664,-9.3333333333
50513333.333333336,-9.5
50520000.0,-9.5
50526666.666666664,-9.6666666667
50533333.333333336,-9.5
50540000.0,-9.6666666667
50546666.666666664,-9.6666666667
50553333.333333336,-9.6666666667
50560000.0,-9.6666666667
50566666.666666664,-9.6666666667
50573333.333333336,-9.6666666667
50580000.0,-9.6666666667
50586666.666666664,-9.6666666667
50593333.333333336,-9.6666666667
50600000.0,-9.6666666667
50606666.666666664,-9.8333333333
50613333.333333336,-9.6666666667
50620000.0,-9.8333333333
50626666.666666664,-9.8333333333
50633333.333333336,-9.8333333333
50640000.0,-9.8333333333
50646666.666666664,-9.8333333333
50653333.333333336,-9.8333333333
50660000.0,-9.8333333333
50666666.666666664,-9.8333333333
50673333.333333336,-10.0
50680000.0,-10.0
50686666.666666664,-10.0
50693333.333333336,-10.0
50700000.0,-9.8333333333
50706666.666666664,-10.0
50713333.333333336,-10.0
50720000.0,-10.0
50726666.666666664,-10.0
50733333.333333336,-10.0
50740000.0,-10.1666666667
50746666.666666664,-10.1666666667
50753333.333333336,-10.1666666667
50760000.0,-10.1666666667
50766666.666666664,-10.1666666667
50773333.333333336,-10.1666666667
50780000.0,-10.1666666667
50786666.666666664,-10.1666666667
50793333.333333336,-10.1666666667
50800000.0,-10.1666666667
50806666.666666664,-10.3333333333
50813333.333333336,-10.3333333333
50820000.0,-10.1666666667
50826666.666666664,-10.3333333333
50833333.333333336,-10.3333333333
50840000.0,-10.3333333333
50846666.666666664,-10.3333333333
50853333.333333336,-10.3333333333
50860000.0,-10.3333333333
50866666.666666664,-10.1666666667
50873333.333333336,-10.5
50880000.0,-10.5
50886666.666666664,-10.5
50893333.333333336,-10.5
50900000.0,-10.5
50906666.666666664,-10.5
50913333.333333336,-10.5
50920000.0,-10.6666666667
50926666.666666664,-10.6666666667
50933333.333333336,-10.5
50940000.0,-10.6666666667
50946666.666666664,-10.6666666667
50953333.333333336,-10.6666666667
50960000.0,-10.6666666667
50966666.666666664,-10.6666666667
50973333.333333336,-10.6666666667
50980000.0,-10.8333333333
50986666.666666664,-10.6666666667
50993333.333333336,-10.8333333333
51000000.0,-10.8333333333
51006666.666666664,-10.8333333333
51013333.333333336,-10.8333333333
51020000.0,-10.8333333333
51026666.666666664,-10.8333333333
51033333.333333336,-10.8333333333
51040000.0,-10.8333333333
51046666.666666664,-11.0
51053333.333333336,-10.8333333333
51060000.0,-11.0
51066666.666666664,-11.0
51073333.333333336,-11.0
51080000.0,-11.0
51086666.666666664,-11.0
51093333.333333336,-10.8333333333
51100000.0,-11.0
51106666.666666664,-10.8333333333
51113333.333333336,-10.8333333333
51120000.0,-11.1666666667
51126666.666666664,-11.1666666667
51133333.333333336,-11.1666666667
51140000.0,-11.1666666667
51146666.666666664,-11.1666666667
51153333.333333336,-11.1666666667
51160000.0,-11.1666666667
51166666.666666664,-11.1666666667
51173333.333333336,-11.1666666667
51180000.0,-11.1666666667
51186666.666666664,-11.1666666667
51193333.333333336,-11.1666666667
51200000.0,-11.1666666667
51206666.666666664,-11.3333333333
51213333.333333336,-11.3333333333
51220000.0,-11.3333333333
51226666.666666664,-11.3333333333
51233333.333333336,-11.3333333333
51240000.0,-11.3333333333
51246666.666666664,-11.3333333333
51253333.333333336,-11.3333333333
51260000.0,-11.3333333333
51266666.666666664,-11.3333333333
51273333.333333336,-11.3333333333
51280000.0,-11.3333333333
51286666.666666664,-11.5
51293333.333333336,-11.3333333333
51300000.0,-11.3333333333
51306666.666666664,-11.5
51313333.333333336,-11.5
51320000.0,-11.5
51326666.666666664,-11.5
51333333.333333336,-11.5
51340000.0,-11.5
51346666.666666664,-11.5
51353333.333333336,-11.5
51360000.0,-11.5
51366666.666666664,-11.3333333333
51373333.333333336,-11.5
51380000.0,-11.5
51386666.666666664,-11.5
51393333.333333336,-11.6666666667
51400000.0,-11.5
51406666.666666664,-11.6666666667
51413333.333333336,-11.6666666667
51420000.0,-11.6666666667
51426666.666666664,-11.6666666667
51433333.333333336,-11.5
51440000.0,-11.5
51446666.666666664,-11.6666666667
51453333.333333336,-11.6666666667
51460000.0,-11.5
51466666.666666664,-11.6666666667
51473333.333333336,-11.6666666667
51480000.0,-11.6666666667
51486666.666666664,-11.6666666667
51493333.333333336,-11.6666666667
51500000.0,-11.5
51506666.666666664,-11.6666666667
51513333.333333336,-11.6666666667
51520000.0,-11.6666666667
51526666.666666664,-11.8333333333
51533333.333333336,-11.6666666667
51540000.0,-11.8333333333
51546666.666666664,-11.6666666667
51553333.333333336,-11.8333333333
51560000.0,-11.8333333333
51566666.666666664,-11.6666666667
51573333.333333336,-11.8333333333
51580000.0,-11.8333333333
51586666.666666664,-11.8333333333
51593333.333333336,-11.6666666667
51600000.0,-11.8333333333
51606666.666666664,-11.8333333333
51613333.333333336,-11.8333333333
51620000.0,-11.6666666667
51626666.666666664,-11.8333333333
51633333.333333336,-11.8333333333
51640000.0,-11.8333333333
51646666.666666664,-11.6666666667
51653333.333333336,-11.8333333333
51660000.0,-11.8333333333
51666666.666666664,-11.8333333333
51673333.333333336,-11.8333333333
51680000.0,-11.8333333333
51686666.666666664,-11.8333333333
51693333.333333336,-11.8333333333
51700000.0,-11.8333333333
51706666.666666664,-11.8333333333
51713333.333333336,-11.8333333333
51720000.0,-11.8333333333
51726666.666666664,-11.8333333333
51733333.333333336,-12.0
51740000.0,-12.0
51746666.666666664,-11.8333333333
51753333.333333336,-12.0
51760000.0,-11.8333333333
51766666.666666664,-12.0
51773333.333333336,-11.8333333333
51780000.0,-12.0
51786666.666666664,-11.8333333333
51793333.333333336,-11.8333333333
51800000.0,-12.0
51806666.666666664,-11.8333333333
51813333.333333336,-12.0
51820000.0,-12.0
51826666.666666664,-11.8333333333
51833333.333333336,-11.8333333333
51840000.0,-12.0
51846666.666666664,-11.8333333333
51853333.333333336,-12.0
51860000.0,-12.0
51866666.666666664,-12.0
51873333.333333336,-12.0
51880000.0,-12.0
51886666.666666664,-11.8333333333
51893333.333333336,-12.0
51900000.0,-11.8333333333
51906666.666666664,-12.0
51913333.333333336,-11.8333333333
51920000.0,-12.0
51926666.666666664,-12.0
51933333.333333336,-11.8333333333
51940000.0,-11.8333333333
51946666.666666664,-12.0
51953333.333333336,-12.0
51960000.0,-12.0
51966666.666666664,-12.0
51973333.333333336,-12.0
51980000.0,-12.0
51986666.666666664,-12.0
51993333.333333336,-11.8333333333
52000000.0,-12.0
52006666.666666664,-12.0
52013333.333333336,-12.0
52020000.0,-12.0
52026666.666666664,-11.8333333333
52033333.333333336,-12.0
52040000.0,-12.0
52046666.666666664,-11.8333333333
52053333.333333336,-11.8333333333
52060000.0,-11.8333333333
52066666.666666664,-11.8333333333
52073333.333333336,-11.8333333333
52080000.0,-11.8333333333
52086666.666666664,-11.8333333333
52093333.333333336,-12.0
52100000.0,-11.8333333333
52106666.666666664,-11.8333333333
52113333.333333336,-11.8333333333
52120000.0,-11.8333333333
52126666.666666664,-11.8333333333
52133333.333333336,-11.8333333333
52140000.0,-12.0
52146666.666666664,-11.8333333333
52153333.333333336,-11.8333333333
52160000.0,-11.8333333333
52166666.666666664,-11.8333333333
52173333.333333336,-11.8333333333
52180000.0,-11.8333333333
52186666.666666664,-11.8333333333
52193333.333333336,-11.8333333333
52200000.0,-11.8333333333
52206666.666666664,-11.8333333333
52213333.333333336,-11.8333333333
52220000.0,-11.8333333333
52226666.666666664,-11.8333333333
52233333.333333336,-11.8333333333
52240000.0,-11.8333333333
52246666.666666664,-11.8333333333
52253333.333333336,-11.8333333333
52260000.0,-11.6666666667
52266666.666666664,-11.8333333333
52273333.333333336,-11.8333333333
52280000.0,-11.6666666667
52286666.666666664,-11.8333333333
52293333.333333336,-11.8333333333
52300000.0,-11.6666666667
52306666.666666664,-11.6666666667
52313333.333333336,-11.6666666667
52320000.0,-11.6666666667
52326666.666666664,-11.8333333333
52333333.333333336,-11.8333333333
52340000.0,-11.6666666667
52346666.666666664,-11.6666666667
52353333.333333336,-11.6666666667
52360000.0,-11.6666666667
52366666.666666664,-11.6666666667
52373333.333333336,-11.6666666667
52380000.0,-11.6666666667
52386666.666666664,-11.6666666667
52393333.333333336,-11.6666666667
52400000.0,-11.6666666667
52406666.666666664,-11.6666666667
52413333.333333336,-11.6666666667
52420000.0,-11.6666666667
52426666.666666664,-11.6666666667
52433333.333333336,-11.5
52440000.0,-11.6666666667
52446666.666666664,-11.6666666667
52453333.333333336,-11.6666666667
52460000.0,-11.6666666667
52466666.666666664,-11.5
52473333.333333336,-11.6666666667
52480000.0,-11.5
52486666.666666664,-11.5
52493333.333333336,-11.5
52500000.0,-11.5
52506666.666666664,-11.5
52513333.333333336,-11.5
52520000.0,-11.5
52526666.666666664,-11.5
52533333.333333336,-11.5
52540000.0,-11.5
52546666.666666664,-11.5
52553333.333333336,-11.3333333333
52560000.0,-11.5
52566666.666666664,-11.5
52573333.333333336,-11.5
52580000.0,-11.5
52586666.666666664,-11.3333333333
52593333.333333336,-11.3333333333
52600000.0,-11.1666666667
52606666.666666664,-11.3333333333
52613333.333333336,-11.3333333333
52620000.0,-11.3333333333
52626666.666666664,-11.3333333333
52633333.333333336,-11.3333333333
52640000.0,-11.3333333333
52646666.666666664,-11.3333333333
52653333.333333336,-11.3333333333
52660000.0,-11.3333333333
52666666.666666664,-11.3333333333
52673333.333333336,-11.3333333333
52680000.0,-11.3333333333
52686666.666666664,-11.3333333333
52693333.333333336,-11.3333333333
52700000.0,-11.1666666667
52706666.666666664,-11.1666666667
52713333.333333336,-11.1666666667
52720000.0,-11.1666666667
52726666.666666664,-11.1666666667
52733333.333333336,-11.1666666667
52740000.0,-11.1666666667
52746666.666666664,-11.1666666667
52753333.333333336,-11.1666666667
52760000.0,-11.1666666667
52766666.666666664,-11.0
52773333.333333336,-11.1666666667
52780000.0,-11.1666666667
52786666.666666664,-11.0
52793333.333333336,-11.0
52800000.0,-11.0
52806666.666666664,-11.0
52813333.333333336,-11.0
52820000.0,-11.0
52826666.666666664,-11.0
52833333.333333336,-11.0
52840000.0,-11.0
52846666.666666664,-11.0
52853333.333333336,-11.0
52860000.0,-11.0
52866666.666666664,-11.0
52873333.333333336,-11.0
52880000.0,-10.8333333333
52886666.666666664,-10.8333333333
52893333.333333336,-10.8333333333
52900000.0,-10.8333333333
52906666.666666664,-10.8333333333
52913333.333333336,-10.8333333333
52920000.0,-10.8333333333
52926666.666666664,-10.8333333333
52933333.333333336,-10.8333333333
52940000.0,-10.8333333333
52946666.666666664,-10.8333333333
52953333.333333336,-10.8333333333
52960000.0,-10.8333333333
52966666.666666664,-10.6666666667
52973333.333333336,-10.8333333333
52980000.0,-10.6666666667
52986666.666666664,-10.6666666667
52993333.333333336,-10.6666666667
53000000.0,-10.6666666667
53006666.666666664,-10.6666666667
53013333.333333336,-10.6666666667
53020000.0,-10.6666666667
53026666.666666664,-10.6666666667
53033333.333333336,-10.5
53040000.0,-10.6666666667
53046666.666666664,-10.6666666667
53053333.333333336,-10.5
53060000.0,-10.6666666667
53066666.666666664,-10.5
53073333.333333336,-10.5
53080000.0,-10.5
53086666.666666664,-10.5
53093333.333333336,-10.5
53100000.0,-10.5
53106666.666666664,-10.5
53113333.333333336,-10.5
53120000.0,-10.5
53126666.666666664,-10.5
53133333.333333336,-10.5
53140000.0,-10.5
53146666.666666664,-10.3333333333
53153333.333333336,-10.3333333333
53160000.0,-10.1666666667
53166666.666666664,-10.3333333333
53173333.333333336,-10.3333333333
53180000.0,-10.3333333333
53186666.666666664,-10.3333333333
53193333.333333336,-10.3333333333
53200000.0,-10.3333333333
53206666.666666664,-10.3333333333
53213333.333333336,-10.3333333333
53220000.0,-10.3333333333
53226666.666666664,-10.3333333333
53233333.333333336,-10.1666666667
53240000.0,-10.1666666667
53246666.666666664,-10.1666666667
53253333.333333336,-10.1666666667
53260000.0,-10.1666666667
53266666.666666664,-10.1666666667
53273333.333333336,-10.1666666667
53280000.0,-10.1666666667
53286666.666666664,-10.1666666667
53293333.333333336,-10.1666666667
53300000.0,-10.1666666667
53306666.666666664,-10.1666666667
53313333.333333336,-10.0
53320000.0,-10.0
53326666.666666664,-10.0
53333333.333333336,-10.0
53340000.0,-10.0
53346666.666666664,-10.0
53353333.333333336,-10.0
53360000.0,-10.0
53366666.666666664,-10.0
53373333.333333336,-10.0
53380000.0,-10.0
53386666.666666664,-10.0
53393333.333333336,-10.0
53400000.0,-9.8333333333
53406666.666666664,-10.0
53413333.333333336,-9.8333333333
53420000.0,-9.8333333333
53426666.666666664,-9.8333333333
