frequencies,amplitudes
3500000.0,-3.5
3500833.3333333335,-3.3333333333
3501666.6666666665,-3.3333333333
3502500.0,-3.3333333333
3503333.3333333335,-3.3333333333
3504166.6666666665,-3.3333333333
3505000.0,-3.3333333333
3505833.3333333335,-3.3333333333
3506666.6666666665,-3.3333333333
3507500.0,-3.3333333333
3508333.3333333335,-3.3333333333
3509166.6666666665,-3.3333333333
3510000.0,-3.3333333333
3510833.3333333335,-3.3333333333
3511666.6666666665,-3.1666666667
3512500.0,-3.3333333333
3513333.3333333335,-3.3333333333
3514166.6666666665,-3.3333333333
3515000.0,-3.1666666667
3515833.3333333335,-3.1666666667
3516666.6666666665,-3.1666666667
3517500.0,-3.1666666667
3518333.3333333335,-3.1666666667
3519166.6666666665,-3.1666666667
3520000.0,-3.1666666667
3520833.3333333335,-3.1666666667
3521666.6666666665,-3.1666666667
3522500.0,-3.1666666667
3523333.3333333335,-3.1666666667
3524166.6666666665,-3.1666666667
3525000.0,-3.1666666667
3525833.3333333335,-3.1666666667
3526666.6666666665,-3.1666666667
3527500.0,-3.1666666667
3528333.3333333335,-3.1666666667
3529166.6666666665,-3.0
3530000.0,-3.0
3530833.3333333335,-3.0
3531666.6666666665,-3.0
3532500.0,-3.0
3533333.3333333335,-3.0
3534166.6666666665,-3.0
3535000.0,-3.0
3535833.3333333335,-3.0
3536666.6666666665,-3.0
3537500.0,-3.0
3538333.3333333335,-3.0
3539166.6666666665,-3.0
3540000.0,-3.0
3540833.3333333335,-3.0
3541666.6666666665,-3.0
3542500.0,-3.0
3543333.3333333335,-3.0
3544166.6666666665,-3.0
3545000.0,-2.8333333333
3545833.3333333335,-3.0
3546666.6666666665,-3.0
3547500.0,-3.0
3548333.3333333335,-2.8333333333
3549166.6666666665,-2.8333333333
3550000.0,-2.8333333333
3550833.3333333335,-2.8333333333
3551666.6666666665,-2.8333333333
3552500.0,-2.8333333333
3553333.3333333335,-2.8333333333
3554166.6666666665,-2.8333333333
3555000.0,-2.8333333333
3555833.3333333335,-2.8333333333
3556666.6666666665,-2.8333333333
3557500.0,-2.8333333333
3558333.3333333335,-2.8333333333
3559166.6666666665,-2.8333333333
3560000.0,-2.8333333333
3560833.3333333335,-2.8333333333
3561666.6666666665,-2.8333333333
3562500.0,-2.8333333333
3563333.3333333335,-2.8333333333
3564166.6666666665,-2.8333333333
3565000.0,-2.8333333333
3565833.3333333335,-2.8333333333
3566666.6666666665,-2.8333333333
3567500.0,-2.8333333333
3568333.3333333335,-2.8333333333
3569166.6666666665,-2.8333333333
3570000.0,-2.8333333333
3570833.3333333335,-2.8333333333
3571666.6666666665,-2.8333333333
3572500.0,-2.8333333333
3573333.3333333335,-2.8333333333
3574166.6666666665,-2.8333333333
3575000.0,-2.8333333333
3575833.3333333335,-2.8333333333
3576666.6666666665,-2.8333333333
3577500.0,-2.8333333333
3578333.3333333335,-2.8333333333
